date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
27-11-2007,440,770,1050,770,959,962.9,984.72,27294366,2.68772E+15
28-11-2007,962.9,984,990,874,885,893.9,941.38,4581338,4.31277E+14
29-11-2007,893.9,909,914.75,841,887,884.2,888.09,5124121,4.55066E+14
30-11-2007,884.2,890,958,890,929,921.55,929.17,4609762,4.28326E+14
03-12-2007,921.55,939.75,995,922,980,969.3,965.65,2977470,2.8752E+14
04-12-2007,969.3,985,1056,976,1049,1041.45,1015.39,4849250,4.92387E+14
05-12-2007,1041.45,1061,1099.5,1050,1084,1082.45,1082.79,2848209,3.08401E+14
06-12-2007,1082.45,1089,1109.7,1051,1090.1,1081.3,1087.03,1749516,1.90177E+14
07-12-2007,1081.3,1100,1134,1078,1100,1102.4,1106.57,2247904,2.48747E+14
10-12-2007,1102.4,1110,1110,1061.1,1073.55,1075.4,1080.38,1012350,1.09373E+14
11-12-2007,1075.4,1081,1089,1041,1046,1047.65,1067.8,810464,8.65E+13
12-12-2007,1047.65,1032,1065,1016,1036.9,1036.8,1043.92,744799,7.78E+13
13-12-2007,1036.8,1040,1150,1030.25,1131.15,1129.95,1109.09,3067687,3.40234E+14
14-12-2007,1129.95,1139.9,1140,1101.1,1107,1110.5,1119.55,1070737,1.19875E+14
17-12-2007,1110.5,1140,1168,1021.5,1052,1044.25,1102.42,1404955,1.54885E+14
18-12-2007,1044.25,1045,1109.9,1031.55,1085,1074.95,1077.84,1226984,1.3225E+14
19-12-2007,1074.95,1091,1116,1046.3,1078,1066.9,1082.93,845666,9.16E+13
20-12-2007,1066.9,1083.5,1083.5,1051,1067,1060.2,1065.52,623288,6.64E+13
24-12-2007,1060.2,1095,1192,1085.25,1160,1156.8,1160.77,2060892,2.39221E+14
26-12-2007,1156.8,1175,1214,1148,1212,1199.9,1183.3,1467031,1.73594E+14
27-12-2007,1199.9,1215,1240,1204,1209,1211.65,1222.58,977495,1.19506E+14
28-12-2007,1211.65,1189.4,1274,1175,1270,1249.1,1221.31,1164138,1.42177E+14
31-12-2007,1249.1,1263.35,1295,1261,1268,1268.8,1277.64,737249,9.42E+13
01-01-2008,1268.8,1279,1319,1263.7,1308,1296.85,1285.72,491348,6.32E+13
02-01-2008,1296.85,1310.25,1324,1270,1300.15,1307.45,1302.15,703815,9.16E+13
03-01-2008,1307.45,1305,1314.7,1261.15,1267.15,1275.8,1289.24,505058,6.51E+13
04-01-2008,1275.8,1278.8,1294.8,1233,1239.9,1240.35,1256.03,550795,6.92E+13
07-01-2008,1240.35,1240,1278.9,1215,1233,1227.25,1244.76,630963,7.85E+13
08-01-2008,1227.25,1240,1255,1185,1202,1204.8,1217.08,530499,6.4566E+13
09-01-2008,1204.8,1200,1210,1151,1181,1180.25,1176.37,627507,7.38E+13
10-01-2008,1180.25,1185,1199.8,1110,1118,1121.55,1156.44,438806,5.07E+13
11-01-2008,1121.55,1128,1130,1063,1096,1085.85,1087.78,616938,6.71E+13
14-01-2008,1085.85,1082.4,1082.4,1031.1,1035,1035.15,1042.4,835916,8.71E+13
15-01-2008,1035.15,1045.6,1078.7,1036.05,1057,1049.55,1050.69,830493,8.73E+13
16-01-2008,1049.55,1046,1064,1000,1038.3,1030.4,1032.86,816188,8.43E+13
17-01-2008,1030.4,1050,1053.5,1011,1014.95,1020.9,1033.73,336003,3.47E+13
18-01-2008,1020.9,1010,1072,974.9,995,994.6,1022.57,676854,6.92E+13
21-01-2008,994.6,995,1005,795.7,853,825.05,880.77,788623,6.94599E+13
22-01-2008,825.05,700,810,660.05,739,735.55,703.2,546161,3.84E+13
23-01-2008,735.55,760,881.9,760,862.2,857,818.67,535462,4.38E+13
24-01-2008,857,875,935,812,814.7,814.15,854.83,511017,4.37E+13
