date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,361.2,370,390,370,385,381.65,380.54,3318,1.26262E+11
04-01-2000,381.65,380,392,375,390,385.55,383.5,4818,1.8477E+11
05-01-2000,385.55,371.5,390,371.5,383,383,379.81,2628,99813845000
06-01-2000,383,384.9,384.9,374.5,375.1,377.5,379.88,3354,127411439999.99998
07-01-2000,377.5,376,390,370,389,385.7,383.38,9589,3.67627E+11
10-01-2000,385.7,415,416.6,409,416.6,415,414.97,60313,2.50282E+12
11-01-2000,415,415,423,409,417,415.2,412.51,65570,2.7048E+12
12-01-2000,415.2,420,448.45,410.05,418.55,417.65,421.46,24854,1.0475E+12
13-01-2000,417.65,423,429.9,413.05,417.1,418.7,422.4,9169,3.87301E+11
14-01-2000,418.7,410,414.9,408,410.6,410,410.05,64603,2.64902E+12
17-01-2000,410,420,421,401,415,411.35,413.72,7537,3.1182E+11
18-01-2000,411.35,410,419,410,416,414.05,413.76,7656,3.16776E+11
19-01-2000,414.05,425,430,417.5,418,419.35,421.93,28800,1.21515E+12
20-01-2000,419.35,425,428.9,412,422,420.55,418.78,54282,2.27321E+12
21-01-2000,420.55,422,445,421.25,425.9,425.85,429.77,48388,2.07955E+12
24-01-2000,425.85,434,459.95,434,459.95,458.4,457.7,55504,2.54044E+12
25-01-2000,458.4,470,495.05,467,495.05,494.7,484,45422,2.19845E+12
27-01-2000,494.7,530,530,460,477,472.95,477.35,33156,1.58271E+12
28-01-2000,472.95,470,483,465,481,480.65,479.59,48664,2.33387E+12
31-01-2000,480.65,499,499,460,460.5,460.5,461.12,35334,1.62933E+12
01-02-2000,460.5,462,468,459,460.05,460.3,460.67,29884,1.37667E+12
02-02-2000,460.3,475,475,459,460,460.1,461.38,14142,6.52481E+11
03-02-2000,460.1,462,463,455,455,456.1,459.08,24627,1.13058E+12
04-02-2000,456.1,460,465,455,455,456.7,458.31,71643,3.28343E+12
07-02-2000,456.7,460,460,440,455,453.65,450.96,6906,3.1143E+11
08-02-2000,453.65,440,481,440,463,459.85,450.21,53864,2.42502E+12
09-02-2000,459.85,469,469,447.5,455.5,457.15,455.68,2794,1.27318E+11
10-02-2000,457.15,460,460,440,440,440.9,449.09,13668,6.13813E+11
11-02-2000,440.9,437,450,431.5,450,443.35,440.32,5349,235525895000.00003
14-02-2000,443.35,440,450,414.9,435,431.75,434.8,3624,1.57572E+11
15-02-2000,431.75,445,445,400.1,415.95,416.65,411.27,8167,3.35881E+11
16-02-2000,416.65,427,427,390,390,399.1,403.8,5557,2.24389E+11
17-02-2000,399.1,375,408,375,394,392.6,391.61,17561,6.87714E+11
18-02-2000,392.6,409,410,391,409.95,402.45,399.25,7253,2.89576E+11
21-02-2000,402.45,402,410,395.25,401.5,402.75,400.96,6568,2.6335E+11
22-02-2000,402.75,401,404,400,401.8,400.45,400.21,8046,3.22009E+11
23-02-2000,400.45,396,410,395,410,406.85,400.31,2776,1.11125E+11
24-02-2000,406.85,400,405,398,400.5,400.5,400.6,1872,74991750000
25-02-2000,400.5,392,404.8,380,380,392.95,396.51,1010,40047450000
28-02-2000,392.95,375,402.5,375,402.5,400.45,395.93,2057,81441850000
29-02-2000,400.45,395,402.5,369,375,376.4,389.4,2964,1.15417E+11
01-03-2000,376.4,397,400,364,400,399.7,391.29,1383,54115475000
02-03-2000,399.7,400,412,388.1,388.25,390,396.12,3829,1.51674E+11
03-03-2000,390,370,421.2,370,415,404.8,387.12,10700,4.14215E+11
06-03-2000,404.8,400,408,390,395,398.05,396.98,5122,2.03332E+11
07-03-2000,398.05,385.3,390,375,376.15,376.55,379.93,3976,1.51059E+11
08-03-2000,376.55,388,400,380,400,399.95,398.43,22425,8.93475E+11
09-03-2000,399.95,409.9,431,391,410.3,423.5,410,8150,3.3415E+11
10-03-2000,423.5,419,419,392.25,402,402.2,402.11,2124,85408315000
13-03-2000,402.2,400,405,396,400,399.95,399.97,74011,2.96024E+12
14-03-2000,399.95,394.05,415,391,400,400.15,400.59,21141,8.46887E+11
15-03-2000,400.15,400,419.95,400,410,407.45,411.31,3251,133715989999.99998
16-03-2000,407.45,415,415,405,408.5,410,409.91,58313,2.39033E+12
21-03-2000,410,407,425,407,425,418.05,412.84,6582,2.71733E+11
22-03-2000,418.05,444,449,420,424,422.5,430.92,5524,238039345000.00003
23-03-2000,422.5,410,425,410,418,416.15,417.08,3406,1.42058E+11
24-03-2000,416.15,415,419.8,412,417,415.35,415.41,3656,1.51874E+11
27-03-2000,415.35,423,423,411.1,415.5,415.6,415.31,5379,2.23394E+11
28-03-2000,415.6,413,423.95,413,417,417,417.57,4554,1.90161E+11
29-03-2000,417,415.25,422,415,415,415,416.22,1159,48240000000
30-03-2000,415,415,448.2,410,447.9,437.75,427.3,7824,3.34319E+11
31-03-2000,437.75,426,431,416,425.75,423.2,423.16,5074,2.1471E+11
03-04-2000,423.2,440,440,412,415,413.6,414.83,18297,7.59021E+11
04-04-2000,413.6,401,417,400,410.25,413.1,410.84,19926,8.18635E+11
05-04-2000,413.1,410,416.9,407,415,411.2,413,7122,2.94139E+11
06-04-2000,411.2,412,413,405.05,410,409.55,409.86,8585,3.51863E+11
07-04-2000,409.55,413,425,409,415,415.4,417.86,5440,2.27314E+11
10-04-2000,415.4,415,424.9,411.25,416,413.9,414.56,6751,2.79869E+11
11-04-2000,413.9,411,447,411,447,434.8,426.54,11291,4.81605E+11
12-04-2000,434.8,427.8,430,420,425,424.95,424.82,6442,2.73671E+11
13-04-2000,424.95,410,435,409,419.15,419.15,419.13,1333,55869544999.99999
17-04-2000,419.15,405,430,387,410,419.8,407.61,7497,3.05584E+11
18-04-2000,419.8,415,425,410,425,418.95,418.03,7120,2.97639E+11
19-04-2000,418.95,418,420,395,415,415,411.79,3392,1.39678E+11
20-04-2000,415,406.3,427,396,415,415,414.88,25817,1.07108E+12
24-04-2000,415,421,422,410.25,415.5,415.3,416.06,1302,54171085000
25-04-2000,415.3,402,425,400.1,408,408.5,411.41,6090,2.5055E+11
26-04-2000,408.5,405,416,405,412.05,413.3,411.67,1557,64097555000.00001
27-04-2000,413.3,410,414.9,407,412,412.3,411.37,1096,45085640000
28-04-2000,412.3,405.5,414,405,407,407,407.31,1100,44803860000
02-05-2000,407,405,421.8,394,402,407.2,407.83,4998,2.03833E+11
03-05-2000,407.2,388,399.5,380,390,388.85,392.17,4855,1.90398E+11
04-05-2000,388.85,399,401,391,391.25,391.4,395.68,1934,76524475000
05-05-2000,391.4,397,401.5,393.5,394,394.95,399.15,6556,261685245000.00003
08-05-2000,394.95,400,402,391.15,396,393.1,396.03,3930,1.55641E+11
09-05-2000,393.1,392.05,400,390,391.1,395.15,394.3,3731,1.47113E+11
10-05-2000,395.15,398,399,391,393,391.6,394.54,2336,92163770000
11-05-2000,391.6,389,390,385.25,389.1,388.25,387.48,1047,40569370000
12-05-2000,388.25,389,389,375,375,378.1,383.8,3211,1.23238E+11
15-05-2000,378.1,378,378,357,374,373.1,369.24,3032,1.11955E+11
16-05-2000,373.1,370,384,370,384,377.3,375.72,2918,1.09635E+11
17-05-2000,377.3,385,385,370.05,371.1,373.85,375.49,1378,51742855000
18-05-2000,373.85,370,376,370,371,371,371.45,388,14412225000
19-05-2000,371,371,377.9,361,361,366.5,371.57,3421,1.27113E+11
22-05-2000,366.5,357,369,350,356,358.45,355.76,1655,58878925000
