date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,24.7,26.7,26.7,26.7,26.7,26.7,26.7,112100,2.99307E+11
04-01-2000,26.7,27,28.7,26.5,27,26.85,27.24,234500,6.38728E+11
05-01-2000,26.85,26,27.75,25.5,26.4,26.3,26.24,170100,4.46298E+11
06-01-2000,26.3,25.8,27,25.8,25.9,25.95,26.27,102100,2.68173E+11
07-01-2000,25.95,25,26,24.25,25,24.8,25.04,62600,1.56722E+11
10-01-2000,24.8,25.05,26.5,25,25,25,25.29,64200,1.62334E+11
11-01-2000,25,24.25,24.8,23,23,23.2,23.9,91700,2.19173E+11
12-01-2000,23.2,22.6,24.5,22.6,24,24,23.97,32500,77913500000
13-01-2000,24,24.5,24.5,23.1,23.8,23.6,23.77,48300,1.14796E+11
14-01-2000,23.6,24,24.2,22.5,23.5,23.25,23.17,30700,71142500000
17-01-2000,23.25,24.5,25.15,24.25,25.15,25.15,25.09,82400,2.06738E+11
18-01-2000,25.15,26.5,26.5,24.3,25.15,24.9,24.94,110400,2.75381E+11
19-01-2000,24.9,24.75,26,24.75,25.4,25.6,25.56,89300,2.28267E+11
20-01-2000,25.6,26.1,26.25,24.3,24.4,24.45,25.05,103500,2.59231E+11
21-01-2000,24.45,25,25.3,24.3,25.3,25.1,24.79,47300,1.17258E+11
24-01-2000,25.1,25.6,25.75,24.6,24.6,24.8,25.03,102400,2.56269E+11
25-01-2000,24.8,25,25.4,24.05,24.9,25.05,24.9,131700,3.27899E+11
27-01-2000,25.05,25.85,27.05,25.25,27.05,27.05,26.8,201400,5.39746E+11
28-01-2000,27.05,28,29.25,27.1,29.25,29.25,29.04,311600,9.05025E+11
31-01-2000,29.25,31,31.6,30.1,31.6,31.6,31.45,317000,9.96993E+11
01-02-2000,31.6,32.95,34.15,32.95,34.15,34.15,34.11,201000,6.85569E+11
02-02-2000,34.15,36.9,36.9,36.9,36.9,36.9,36.9,65800,2.42802E+11
03-02-2000,36.9,39.85,39.85,39.85,39.85,39.85,39.85,160400,6.39194E+11
04-02-2000,39.85,43.05,43.05,43.05,43.05,43.05,43.05,60700,2.61314E+11
07-02-2000,43.05,46.5,46.5,39.65,39.65,39.65,40.95,790600,3.23728E+12
08-02-2000,39.65,38,40.75,37,38,37.95,37.91,434100,1.64556E+12
09-02-2000,37.95,39.5,40,35.05,36.6,36.05,36.78,284200,1.04519E+12
10-02-2000,36.05,37.5,38.95,36.5,38.95,38.95,38.34,214000,8.20386E+11
11-02-2000,38.95,42.1,42.1,42.1,42.1,42.1,42.1,129700,5.46037E+11
14-02-2000,42.1,44.95,45.25,38.75,38.75,38.75,40.38,236000,9.53054E+11
15-02-2000,38.75,37.25,37.25,35.65,35.65,35.65,36.16,285600,1.03264E+12
16-02-2000,35.65,37,38.5,36,38.5,38.1,38.1,205200,7.81757E+11
17-02-2000,38.1,39.5,40,37.3,38.25,38.5,38.27,145600,5.57175E+11
18-02-2000,38.5,37.55,37.75,35.5,36.7,36.6,36.39,101900,3.70837E+11
21-02-2000,36.6,38.25,38.25,34.7,35.3,35.4,35.62,119100,4.2427E+11
22-02-2000,35.4,37.2,38,33.3,33.55,33.75,34.78,185300,6.44478E+11
23-02-2000,33.75,35,36.4,34,34.25,34.55,35.03,100300,3.51322E+11
24-02-2000,34.55,37.35,37.35,33,37.35,37.35,36.13,247000,8.92474E+11
25-02-2000,37.35,39.75,40.1,35.8,40,39.45,38.11,208500,7.94611E+11
