date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
26-05-2008,2101.05,898,898,551.35,600.25,604.75,624.61,3972485,248124475790000.0
27-05-2008,604.75,624.7,639,580.3,595.5,593.15,606.43,1751063,106190068700000.0
28-05-2008,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000.0
29-05-2008,608.15,619.4,619.4,576,600,599.45,600.98,669269,4.02217E+13
30-05-2008,599.45,605.4,607,538,576.25,571.7,565.55,1262117,7.13794E+13
02-06-2008,571.7,605.5,615,570.7,573,580.8,598.3,206640,1.23633E+13
03-06-2008,580.8,596,602,555.15,577,579.7,575.83,157283,9.0568E+12
04-06-2008,579.7,597.85,597.85,547.5,550,552.1,563.64,326450,1.83999E+13
05-06-2008,552.1,553,588.8,532.4,548,562.4,560.7,238915,1.3396E+13
06-06-2008,562.4,567,574.7,544.4,572,568.8,564.38,73920,4.1719E+12
09-06-2008,568.8,575,575,524,552,548.8,545.82,321199,1.75318E+13
10-06-2008,548.8,575.5,575.5,547,550,550.4,551.58,58118,3.20567E+12
11-06-2008,550.4,560,560,528,528.2,530.5,536.09,87793,4.70647E+12
12-06-2008,530.5,511,527,510.7,520,519.45,518.85,50729,2.63206E+12
13-06-2008,519.45,514.25,525,501.2,508,505.9,508.57,123934,6.30292E+12
16-06-2008,505.9,510,518,489.45,491.8,494.65,503.45,61592,3.10082E+12
17-06-2008,494.65,490.45,510,482.6,505,506.7,500.42,71476,3576794370000.0005
18-06-2008,506.7,510.1,531,500,514.95,516.45,514.41,105505,5.4273E+12
19-06-2008,516.45,500.2,527,500.2,507.65,512.55,516.94,140483,7.26215E+12
20-06-2008,512.55,507,519,493.6,515,512.1,506.49,76656,3.88253E+12
23-06-2008,512.1,500,514.9,499,499,502.3,503.85,89888,4.52903E+12
24-06-2008,502.3,495,506,471.15,485,479,496.3,174131,8642155609999.999
25-06-2008,479,450,502,450,493.15,497.3,489.76,72533,3.55241E+12
26-06-2008,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234,8.8929E+12
27-06-2008,488.95,465.9,476.85,435,440.1,453.95,452.97,260609,1.18048E+13
30-06-2008,453.95,454,459.95,445.35,451,450.35,452.65,115006,5.20578E+12
01-07-2008,450.35,450,457,433,449,447.1,446.16,170197,7.59358E+12
02-07-2008,447.1,430.15,457.95,430.15,448,453.5,449.32,245296,1.10215E+13
03-07-2008,453.5,445,448,390.15,410,408.6,428.09,308168,1.31925E+13
04-07-2008,408.6,403.5,433,401,420,421,420.56,62087,2.61115E+12
07-07-2008,421,425,441,425,437,435.5,434.46,130708,5.67876E+12
08-07-2008,435.5,418.1,439.9,414,439.8,434.5,424.58,262122,1.11291E+13
09-07-2008,434.5,446,456.9,440,452,451.75,451.6,104747,4.73037E+12
10-07-2008,451.75,450,532,441.05,530,498.45,468.17,247021,1.15648E+13
11-07-2008,498.45,508,508.1,482,500,499.95,499.51,135338,6.76021E+12
14-07-2008,499.95,515,515,481,502,501.65,495.97,110414,5.47624E+12
15-07-2008,501.65,480.35,497.8,477,484.95,479.85,485.46,44758,2.17281E+12
16-07-2008,479.85,500,500,444.15,452.3,455,450.71,412815,1.86061E+13
17-07-2008,455,475,484.95,461,465,467.6,465.34,124802,5.8075E+12
18-07-2008,467.6,461,473,455,464,464.1,465,71613,3.33003E+12
21-07-2008,464.1,474,505,470,505,498.9,491.02,323713,1.5895E+13
22-07-2008,498.9,490.15,504,485.05,495,495.05,495.38,25042,1.24053E+12
23-07-2008,495.05,514.15,529,498,528.95,519,511.97,116969,5.98842E+12
24-07-2008,519,506.2,534,506.2,521.5,520.65,521.24,26647,1.38896E+12
25-07-2008,520.65,503.25,525,503.25,511.25,509.95,516.79,54204,2.80121E+12
28-07-2008,509.95,500.25,524.7,500.25,520,515.55,514.8,30877,1.58954E+12
29-07-2008,515.55,506,515,501.35,510,509.4,508.48,9914,5.04107E+11
30-07-2008,509.4,483.95,524.95,483.95,520,519.75,515.57,8670,4.46995E+11
31-07-2008,519.75,501.15,539,494.6,539,533.7,527.66,44391,2.34233E+12
01-08-2008,533.7,516,532.9,507,507,517.65,519.79,238858,1.24156E+13
04-08-2008,517.65,510.05,524,510,520,519,516.44,14815,7.65105E+11
05-08-2008,519,505.7,530,501,521.55,526.6,517.14,585044,3.02547E+13
06-08-2008,526.6,525.1,571.4,525.1,557.1,562.25,553.94,107023,5.92843E+12
07-08-2008,562.25,566,574.4,545,558.25,560.05,557.51,55986,3.12125E+12
08-08-2008,560.05,551.2,569,548,548,551.9,556.98,15983,8.90223E+11
11-08-2008,551.9,554,577,552,562,569.35,570.43,24326,1.38763E+12
12-08-2008,569.35,569.85,574.9,548.5,555,553.35,562.66,16393,9.22376E+11
13-08-2008,553.35,543,575,542.25,568.1,570.9,562.65,27582,1.55189E+12
14-08-2008,570.9,562.05,571,555.15,566,565.85,562.71,132460,7.45361E+12
18-08-2008,565.85,554.85,560,532.95,545,551.4,542.36,104270,5.65522E+12
19-08-2008,551.4,554.8,554.85,532.25,548,547.45,547.52,20292,1.11102E+12
20-08-2008,547.45,537.15,573,537.15,540.5,544.25,549.67,25318,1.39167E+12
21-08-2008,544.25,535,555,512,515,520.15,538.11,18332,9.86467E+11
22-08-2008,520.15,506.1,543,506.1,534.95,531.85,532.31,167796,8.93193E+12
