date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,703.25,705,759.5,705,758,1135.35,741.01,7512,5.56649E+11
04-01-2000,756.9,710,770,710,740,1131.825,742.52,8135,6.04039E+11
05-01-2000,754.55,755,759,705,740,1102.95,739.92,6095,4.50978E+11
06-01-2000,735.3,740,794.15,740,770,1178.475,788.83,19697,1.55376E+12
07-01-2000,785.65,808,848.5,798,848.5,1272.75,827.53,33107,2.73971E+12
10-01-2000,848.5,900,916.4,865,916.4,1368.3,905.42,29575,2.67778E+12
11-01-2000,912.2,920,920,839.25,865,1280.625,858.02,20635,1.77052E+12
12-01-2000,853.75,900,900,860.55,890.95,1324.05,885.18,9312,8.24276E+11
13-01-2000,882.7,890,920,875,885,1322.1,898.96,19526,1.75531E+12
14-01-2000,881.4,872.5,880,864,870,1304.475,873.91,15675,1.36985E+12
17-01-2000,869.65,880,890,870,878,1313.925,881,7125,6.2771E+11
18-01-2000,875.95,870.1,899,868,890,1321.575,880.59,12526,1.10303E+12
19-01-2000,881.05,889,911,889,906.5,1351.275,901.81,14108,1.27228E+12
20-01-2000,900.85,907,919.9,893.55,894,1343.55,905.26,5671,5.13373E+11
21-01-2000,895.7,897.9,897.9,885.25,890,1332.375,888.42,1888,1.67734E+11
24-01-2000,888.25,880,895,851,886,1327.125,877.38,6351,5.57221E+11
25-01-2000,884.75,871,890,870,870,1321.875,878.74,6859,6.02727E+11
27-01-2000,881.25,865.9,885,810.75,825.15,1245.45,833.19,14678,1.22295E+12
28-01-2000,830.3,800,815,782,790,1188.675,796.65,6418,5.11293E+11
31-01-2000,792.45,778.65,788,729.25,752,1120.125,759.2,5416,4.11183E+11
01-02-2000,746.75,751,759,721,725,1097.25,738.07,7347,5.42263E+11
02-02-2000,731.5,740,752,700,735,1096.575,739.03,4939,3.65005E+11
03-02-2000,731.05,750,750,695,715,1071.225,713.32,11619,8.28807E+11
04-02-2000,714.15,720,720,706,715,1070.25,711.8,13147,9.35798E+11
07-02-2000,713.5,701,717,700,704.8,1052.55,708.3,7195,5.09622E+11
08-02-2000,701.7,704,704,680,683,1028.25,687.66,15083,1.0372E+12
09-02-2000,685.5,714,740.35,695,704.1,1061.1,711.68,23357,1.66226E+12
10-02-2000,707.4,719,730,707,715,1068.15,715.42,11341,8.1136E+11
11-02-2000,712.1,723,729,700,710,1056.225,712.06,20795,1.48072E+12
14-02-2000,704.15,710,711,690,693,1035.9,696.07,7765,5.40501E+11
15-02-2000,690.6,681,681,640,668,979.95,657.71,18622,1.22479E+12
16-02-2000,653.3,670,680,662,680,1012.05,671.57,10876,7.30403E+11
17-02-2000,674.7,670,698,670,674,1015.5,679.09,8926,6.06159E+11
18-02-2000,677,670,694.9,661,675,1000.575,670.66,11460,7.68576E+11
21-02-2000,667.05,675,690,655,670,998.55,669.13,7993,5.34832E+11
22-02-2000,665.7,670,670,655,659.9,986.175,660.67,11142,7.36118E+11
23-02-2000,657.45,658,680,655,670,998.475,668.06,5793,3.8701E+11
24-02-2000,665.65,675,677,642,665,993.15,658.93,8205,5.40654E+11
25-02-2000,662.1,674,674,640,645,962.775,654.42,6346,4.15294E+11
28-02-2000,641.85,640,656,609.15,634.5,953.775,640.47,9071,5.80968E+11
29-02-2000,635.85,650,659.85,605,605,917.25,634.25,16183,1.0264E+12
01-03-2000,611.5,625,625,562.6,562.6,843.9,569.89,9303,5.30166E+11
02-03-2000,562.6,527,530,517.6,517.6,776.4,518.26,8703,4.51039E+11
03-03-2000,517.6,476.2,545.45,476.2,500,756.9,487.22,26306,1.28168E+12
06-03-2000,504.6,525,525,464.25,476.25,712.95,481.61,18609,8.96228E+11
07-03-2000,475.3,479.9,490,462,470,704.025,474.37,17834,8.45995E+11
08-03-2000,469.35,488,506.45,465.1,494,734.1,490.24,39317,1.92748E+12
09-03-2000,489.4,500,500,475,499.75,749.475,480.96,34910,1.67905E+12
10-03-2000,499.65,500,517.9,470,490,729.225,487.73,36935,1.80145E+12
13-03-2000,486.15,500,520,487,512,768,504.55,13605,6.8644E+11
14-03-2000,512,510,530,490,528.75,779.925,497.86,30386,1.5128E+12
15-03-2000,519.95,520,561.55,520,543,810.15,548.53,16605,9.10826E+11
16-03-2000,540.1,547.6,559.85,520,540,815.475,537.44,9879,5.30937E+11
21-03-2000,543.65,550,554.95,535.1,545,817.275,545.73,22765,1.24235E+12
22-03-2000,544.85,563,587,558,575,859.875,567.46,19318,1.09621E+12
23-03-2000,573.25,590,595,572.25,580,869.175,578.37,19081,1.10359E+12
24-03-2000,579.45,581,613,581,595,898.95,595.86,10517,6.26665E+11
27-03-2000,599.3,609,642,595,642,954.9,625.69,14160,8.85978E+11
28-03-2000,636.6,640.1,651,622.25,630,944.4,630.97,12543,7.91426E+11
29-03-2000,629.6,654,675,625,640,965.475,646.73,19000,1.22878E+12
30-03-2000,643.65,625,635,605,618,931.8,620.65,13117,8.14106E+11
31-03-2000,621.2,624,629.9,605,620,929.7,616.52,9611,5.92537E+11
03-04-2000,619.8,612,618,571.55,602,902.025,604.59,6724,4.06528E+11
04-04-2000,601.35,575,589,555,575,851.7,568.82,14661,8.33941E+11
05-04-2000,567.8,560,590,560,580,868.2,579.13,4633,2.68311E+11
06-04-2000,578.8,581.05,600,566.05,589.9,885.75,583.38,8586,5.00886E+11
07-04-2000,590.5,605,610,580,595,896.025,596.56,9008,5.37382E+11
10-04-2000,597.35,601,607.9,572.2,578,872.175,584.62,8021,4.6892E+11
11-04-2000,581.45,572.2,588,570,575.1,866.85,572.81,9696,5.55395E+11
12-04-2000,577.9,584,584,566,567,856.8,570.5,4765,2.71844E+11
13-04-2000,571.2,555.1,575,555.1,574,857.775,568.86,7322,4.16517E+11
17-04-2000,571.85,560,560,526.1,526.1,789.15,527.5,7624,4.02164E+11
18-04-2000,526.1,532,539,491.1,506,758.25,509.69,20552,1.04751E+12
19-04-2000,505.5,539.9,539.9,510,518,781.8,519,5284,2.7424E+11
20-04-2000,521.2,525,548,503.05,534.9,795.225,518.88,7904,4.10122E+11
24-04-2000,530.15,528,528,505,509.8,758.925,509.7,6788,3.45982E+11
25-04-2000,505.95,505,520,505,520,763.425,508.56,16236,8.25691E+11
26-04-2000,508.95,519.9,524,512,518,781.05,519.86,9704,5.04469E+11
27-04-2000,520.7,511,520,507,512,765.225,511.95,4809,2.46195E+11
28-04-2000,510.15,520,520,505,509,758.175,505.72,9443,4.77548E+11
02-05-2000,505.45,502,513.95,495,505,758.175,501.62,10962,5.49871E+11
03-05-2000,505.45,492.05,505,485,503.85,743.775,492.91,7994,3.9403E+11
04-05-2000,495.85,520,546,506,536,799.95,534.8,8114,4.33933E+11
05-05-2000,533.3,540,589,528,576.05,867.9,570.25,28372,1.6179E+12
08-05-2000,578.6,590,608,580.25,585.3,885.6,593.56,19417,1.15251E+12
09-05-2000,590.4,579,595,565,587.05,884.7,583.31,9058,5.28358E+11
10-05-2000,589.8,608,608,580,590,885.225,590.07,8561,5.05158E+11
11-05-2000,590.15,584,609.95,551.5,609.95,890.7,581.55,15755,9.1623E+11
12-05-2000,593.8,595,600,565,571,855.225,579.58,14842,8.60217E+11
15-05-2000,570.15,555,558,525.05,541,810.225,540.77,20010,1.08209E+12
16-05-2000,540.15,531,545,505.15,516,773.85,534.61,28934,1.54685E+12
17-05-2000,515.9,530,540,488,513.75,768,507.46,24727,1.2548E+12
18-05-2000,512,513.75,514.95,502,510.75,766.05,508.68,2875,1.46246E+11
19-05-2000,510.7,491,511.95,485,498,752.775,501.28,5496,2.75503E+11
22-05-2000,501.85,481.1,502.7,481.1,499.9,748.575,497.24,4529,2.252E+11
23-05-2000,499.05,500,504.8,493,500,749.475,499.54,22684,1.13317E+12
24-05-2000,499.65,495,507.9,490,504.9,752.625,500.85,5753,2.88137E+11
25-05-2000,501.75,501,535,501,509.05,764.85,507.47,10167,5.15944E+11
26-05-2000,509.9,510,550.7,504.2,550,824.325,522.12,30464,1.59059E+12
29-05-2000,549.55,559,590,550,586.25,876.3,575.23,23693,1.36289E+12
30-05-2000,584.2,594.95,605,572,595,897.6,591.06,17774,1.05054E+12
31-05-2000,598.4,600,635,592.5,615.05,930.375,616.64,24362,1.50225E+12
01-06-2000,620.25,600,614.3,600,607,910.725,610.09,9868,6.02033E+11
02-06-2000,607.15,600,627,590,622,929.925,615.22,11715,7.20729E+11
05-06-2000,619.95,629,647,610,611,919.2,628.79,7752,4.87441E+11
06-06-2000,612.8,612,619.05,600.25,607,919.5,610.32,6271,3.8273E+11
07-06-2000,613,606,610,598,603,903.225,603.02,5470,3.29852E+11
08-06-2000,602.15,604,604,584,594,887.4,592.88,4839,2.86896E+11
09-06-2000,591.6,586,603,585,589,883.5,591.41,3524,2.08412E+11
12-06-2000,589,594,594,583,583,879.225,588.79,2057,1.21114E+11
13-06-2000,586.15,600,600,575,580.05,877.35,584.48,4525,2.64475E+11
14-06-2000,584.9,595,630,591,620,929.55,615.15,16946,1.04244E+12
15-06-2000,619.7,605,622,601,615.25,919.8,611.04,8592,5.25003E+11
16-06-2000,613.2,619,619,608,610,914.325,609.94,3675,2.24152E+11
19-06-2000,609.55,615,621,595,604,905.925,608.01,5192,3.1568E+11
20-06-2000,603.95,609,609,595,595.5,899.475,599.02,4035,2.41706E+11
21-06-2000,599.65,590.05,610,585,591,884.025,591.56,13283,7.85774E+11
22-06-2000,589.35,594.4,596.75,572.5,589,888.825,583.61,5451,3.18127E+11
23-06-2000,592.55,589,590,578,584,870.525,584.39,2442,1.42707E+11
26-06-2000,580.35,582,582,565,571,858.6,576.56,29469,1.69906E+12
27-06-2000,572.4,570,585.35,570,575,864.825,579.74,8044,4.66344E+11
28-06-2000,576.55,585,593,580.1,593,887.025,586.47,1992,1.16825E+11
29-06-2000,591.35,592,613.5,591.1,612,913.5,605.19,7448,4.50745E+11
30-06-2000,609,609,609,594.5,599,895.275,602.23,4922,2.96416E+11
03-07-2000,596.85,615,620,604,610,919.05,611.98,8047,4.92457E+11
04-07-2000,612.7,592,625,592,620,928.575,617.74,9677,5.97783E+11
05-07-2000,619.05,620,629.25,612.55,614,926.85,619.79,4029,2.49713E+11
06-07-2000,617.9,611,616,600,609,913.5,608.22,3794,2.30757E+11
07-07-2000,609,600.05,618,600.05,618,922.425,610.98,14606,8.92393E+11
10-07-2000,614.95,609.25,630,609.25,620.05,925.875,619.85,9352,5.79685E+11
11-07-2000,617.25,615,639.8,610,628.5,942.975,626.61,10654,6.6759E+11
12-07-2000,628.65,640,659,635,644.9,965.625,645.97,18175,1.17406E+12
13-07-2000,643.75,652,653,638,652,974.925,648.29,34426,2.2318E+12
14-07-2000,649.95,654.9,689,649.2,674,1005.825,661.83,104763,6.93355E+12
17-07-2000,670.55,680,683.9,660,680,1017.45,674.1,30077,2.0275E+12
18-07-2000,678.3,680,680,665.2,673.1,1014.15,673.93,22386,1.50865E+12
