date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover
03-01-2000,1349.4,1410,1457.35,1380.05,1457.35,4372.05,1441.36,21060,3.0355E+12
04-01-2000,1457.35,1537,1537,1430,1466.05,4395.75,1460.43,30215,4.4127E+12
05-01-2000,1465.25,1474,1474,1365,1441,4305.15,1428.11,33799,4.82687E+12
06-01-2000,1435.05,1434,1435,1349,1365,4067.55,1390.55,33083,4.60036E+12
07-01-2000,1355.85,1370,1389.9,1247.4,1247.4,3742.65,1267.49,66536,8.43335E+12
10-01-2000,1247.55,1288,1299,1191,1197.15,3617.7,1222.23,105912,1.29448E+13
11-01-2000,1205.9,1225,1225,1109.45,1125,3342.75,1156.31,186975,2.162E+13
12-01-2000,1114.25,1185,1203.4,1185,1203.4,3610.2,1202.76,7416,8.9197E+11
13-01-2000,1203.4,1299.7,1299.7,1281.2,1299.7,3891.15,1298.53,90379,1.1736E+13
14-01-2000,1297.05,1299,1304.55,1220,1275,3842.1,1275.38,70729,9.0206E+12
17-01-2000,1280.7,1335,1340,1250.15,1265,3810.15,1292.22,54938,7.09918E+12
18-01-2000,1270.05,1294,1294,1200,1235,3660.45,1227.43,51691,6.34473E+12
19-01-2000,1220.15,1175,1219.9,1132,1200,3611.55,1189.27,132669,1.5778E+13
20-01-2000,1203.85,1205,1223,1201,1208,3626.4,1212.22,44602,5.40675E+12
21-01-2000,1208.8,1210,1210,1160,1202,3603.3,1198.65,43168,5.17431E+12
24-01-2000,1201.1,1218,1223.9,1185,1212,3636,1210.61,67930,8.22369E+12
25-01-2000,1212,1195,1208,1176.05,1197.9,3582.9,1195.43,65851,7.87202E+12
27-01-2000,1194.3,1225,1225,1185,1195,3570.9,1197.07,33549,4.01605E+12
28-01-2000,1190.3,1210,1215,1171,1183,3551.25,1188.57,25834,3.07055E+12
31-01-2000,1183.75,1162,1184.9,1155,1169.35,3519.3,1172.11,30473,3.57176E+12
01-02-2000,1173.1,1185,1232,1160,1225,3658.5,1191.88,57336,6.83378E+12
02-02-2000,1219.5,1249,1295,1240,1277,3812.55,1267.86,67545,8.56375E+12
03-02-2000,1270.85,1289,1298.95,1235,1240,3730.2,1261.8,29108,3.67283E+12
04-02-2000,1243.4,1245,1250,1196.15,1225,3648.45,1214.08,30288,3.67719E+12
07-02-2000,1216.15,1220,1245,1195,1210,3662.4,1224.62,79074,9.6836E+12
08-02-2000,1220.8,1201,1234.5,1185.25,1205,3616.95,1202.08,67366,8.09793E+12
09-02-2000,1205.65,1235,1265,1211,1219,3654.45,1229.63,28941,3.55866E+12
10-02-2000,1218.15,1200,1212,1185,1204,3592.8,1196.45,28527,3.41312E+12
11-02-2000,1197.6,1200,1200,1150,1165.05,3496.95,1178.37,22600,2.66312E+12
14-02-2000,1165.65,1155,1169,1100,1151,3457.35,1152.2,56818,6.54654E+12
15-02-2000,1152.45,1131,1159,1120,1155,3455.4,1147.45,36573,4.19655E+12
16-02-2000,1151.8,1165,1180,1150,1174.65,3494.25,1164.12,12340,1.43652E+12
17-02-2000,1164.75,1194,1257.95,1158,1257.95,3773.55,1237.85,68138,8.43448E+12
18-02-2000,1257.85,1288.7,1288.7,1185,1200,3603.45,1213.52,79506,9.64823E+12
21-02-2000,1201.15,1215,1238,1140,1174.85,3500.1,1178.75,50159,5.91248E+12
22-02-2000,1166.7,1160,1180,1111,1123,3380.25,1145.21,57839,6.62376E+12
23-02-2000,1126.75,1174,1200,1135,1135,3430.05,1169.17,38763,4.53206E+12
24-02-2000,1143.35,1135,1169,1135,1150,3448.65,1151.78,20743,2.38913E+12
25-02-2000,1149.55,1139.9,1145,1120,1140,3404.25,1131.74,14091,1.59473E+12
28-02-2000,1134.75,1100,1224,1100,1191,3586.35,1177.27,56151,6.61047E+12
29-02-2000,1195.45,1206,1260,1099.9,1099.9,3448.5,1204.43,78176,9.41572E+12
01-03-2000,1149.5,1135,1135,1057.55,1057.55,3172.65,1059.11,33000,3.49505E+12
02-03-2000,1057.55,1002.65,1026,972.95,972.95,2918.85,979.79,42539,4.16793E+12
03-03-2000,972.95,895.15,965,895.15,895.15,2685.45,898.93,49805,4.47714E+12
06-03-2000,895.15,876,950,871,950,2788.95,913.25,81737,7.46464E+12
07-03-2000,929.65,957,957,890,926,2774.1,910.8,80666,7.34707E+12
08-03-2000,924.7,949,982,899.9,929,2782.2,938.99,45283,4.25201E+12
09-03-2000,927.4,929,945,880,885,2704.2,903.75,27056,2.44518E+12
10-03-2000,901.4,955,973.55,900,973.55,2920.65,944.77,43348,4.09538E+12
13-03-2000,973.55,990,1051.45,988,1051.45,3154.35,1038.39,17374,1.80409E+12
14-03-2000,1051.45,1060,1135.6,990,1135.6,3406.8,1102.85,58944,6.50064E+12
15-03-2000,1135.6,1224,1226.45,1125,1147,3451.2,1203.87,94629,1.13921E+13
16-03-2000,1150.4,1175,1175,1060,1061,3189.75,1085.76,30595,3.32187E+12
21-03-2000,1063.25,1099,1148.35,1049,1126,3405.45,1140.15,77800,8.87037E+12
22-03-2000,1135.15,1151,1185,1120,1154.5,3503.7,1160.11,57847,6.71086E+12
23-03-2000,1167.9,1155,1180,1121,1155.3,3495.45,1152.76,34038,3.92376E+12
24-03-2000,1165.15,1130.2,1169,1086,1124.95,3354.45,1122.22,21160,2.37462E+12
27-03-2000,1118.15,1130,1132,1029,1045,3193.2,1093.72,24831,2.71581E+12
28-03-2000,1064.4,1040,1069.45,1000,1032,3082.8,1029.93,24788,2.553E+12
29-03-2000,1027.6,1087,1095,1035,1049.95,3145.2,1056.16,26846,2.83536E+12
30-03-2000,1048.4,1022.05,1069,1011,1055,3152.4,1043.77,30069,3.13851E+12
31-03-2000,1050.8,1075,1134.9,1025,1125,3400.05,1109.59,71545,7.93858E+12
03-04-2000,1133.35,1179,1224.05,1141,1197.3,3603.3,1189.84,139235,1.65667E+13
04-04-2000,1201.1,1160,1223.9,1106.15,1169,3484.35,1153.65,159063,1.83503E+13
05-04-2000,1161.45,1170,1211,1160,1170,3507.9,1183.23,65156,7.70948E+12
06-04-2000,1169.3,1185.95,1185.95,1105,1142.05,3445.05,1138.48,85650,9.75107E+12
07-04-2000,1148.35,1150,1240.25,1141,1240.25,3718.35,1209.06,110151,1.33179E+13
10-04-2000,1239.45,1250,1332.7,1250,1310,3904.65,1295.23,127638,1.6532E+13
11-04-2000,1301.55,1270,1310,1231.3,1290,3896.1,1282.62,84750,1.08702E+13
12-04-2000,1298.7,1300,1300,1225,1225,3714,1252.79,27217,3.40971E+12
